Game slug, Number of achievers,Number of completionists, Number of achievements
fall-guys,23823622,14738,34
rocket-league,18959925,608,88
pc-building-simulator,3310076,30,52
absolute-drift,1442852,427,20
hitman-3,1131716,1762,47
kingdom-come-deliverance,718510,22,82
hand-of-fate-2,637931,151,48
hades,627679,5146,49
multiversus,625446,15,28
supraland,621467,465,98
sifu,616460,8959,42
cyberpunk-2077,601706,682,44
while-true-learn,539507,534,28
riverbond-782aa4,477022,454,57
salt-and-sanctuary,475851,1438,37
defense-grid,445608,3,87
lawn-mowing-simulator-838bf3,434886,8,54
crying-suns,432860,14,65
kena-bridge-of-spirits,401106,532,41
unrailed-e19729,320262,0,52
dying-light-2-stay-human,316253,16,57
football-manager-2022,292814,19,98
horizon-chase-turbo,265216,129,37
redout-enhanced-edition,187199,45,34
ring-of-pain,179440,23,122
insurgency-sandstorm,114128,0,35
crayta,103683,4,34
shop-titans-d95c1c,92013,18,112
disco-elysium,89844,20,40
pinball-fx,72251,0,30
stranger-of-paradise-final-fantasy-origin,63822,1090,46
salt-and-sacrifice,55837,1191,53
zombie-army-4-dead-war,40059,21,66
alan-wake-remastered,36557,28,50
idle-champions-of-the-forgotten-realms,33726,0,0
lego-star-wars-the-skywalker-saga,28999,85,45
among-the-sleep-enhanced-edition,25050,279,10
bugsnax,24651,793,30
rogue-legacy-2,16527,39,36
house-flipper,14363,21,23
the-first-tree,12113,92,14
the-tenants,9420,0,62
art-of-rally,9366,11,43
aragami-2,5092,19,44
grindstone,4840,34,49
skul-the-hero-slayer,4537,6,24
townsmen-a-kingdom-rebuilt-07c09d,3545,0,101
ken-follets-the-pillars-of-the-earth,3447,62,41
sunless-sea,3306,2,54
the-surge,3183,15,67
aeon-must-die,3143,-29,35
airborne-kingdom,2999,44,27
gamedec,2828,0,52
good-company,2222,2,76
house-party-ae8b27,2096,0,61
supraland-six-inches-under-dd0220,1374,174,53
pillars-of-eternity,907,4,48
merchant-of-the-skies,886,24,12
wildermyth-593344,624,1,56
lunas-fishing-garden,603,55,14
one-hand-clapping,584,0,28
eiyuden-chronicle-rising,518,47,50
pathfinder-wrath-of-the-righteous,514,0,88
my-lovely-wife-bef07f,420,0,33
haven,364,0,30
moonglow-bay,348,0,37
weird-west-906661,341,0,53
hordecore,278,13,28
lifeslide,274,0,31
imagine-earth-7498e4,241,0,24
arcade-paradise,232,0,54
the-caligula-effect-2-a51f60,200,2,49
circus-electrique,197,0,50
grime,193,0,35
deponia-doomsday-1848dd,187,8,36
train-valley-2-3606da,186,0,63
redout-2,181,0,52
aegis-descent-a1f5a0,174,1,44
lost-ruins-d6233b,171,0,40
hercule-poirot-the-first-cases-584238,165,1,46
endling-extinction-is-forever,139,0,28
lamentum-962e3e,137,8,19
flat-heroes-fec628,135,0,44
curious-expedition-2-8cb901,127,0,60
frogun-9cf69e,111,0,31
are-you-smarter-than-a-5th-grader-bc328a,103,0,19
rise-of-the-third-power-682886,94,3,21
train-valley-ead642,82,0,39
the-uncertain-last-quiet-day,71,6,32
goat-simulator-3,69,0,0
cursed-treasure-2-ultimate-edition-2ebbb4,66,13,53
the-surge-2-e7df70,63,2,57
the-uncertain-light-at-the-end,53,4,29
sniper-elite-5,50,1,0
bug-fables-the-everlasting-sapling-851aa9,42,0,30
pc-building-simulator-2,39,0,59
wunderling-dx,34,0,41
astalon-tears-of-the-earth-1b2279,33,4,30
crash-drive-3,28,1,55
smelter-97a47b,25,6,51
time-loader,15,2,29
isonzo,12,0,45
vampire-the-masquerade-swansong,12,0,0
rescue-party-live,10,7,0
saturnalia,7,0,20
hazel-sky-478373,6,0,24
guild-of-dungeoneering-ultimate-edition,3,0,0
serial-cleaners,3,3,18
curse-of-the-deadwood-3dcda7,2,0,70
gravitar-recharged-e606fe,2,0,19
roccos-island-c4194b,2,0,40
loopmancer,1,0,57
silence-57bc4e,1,0,46
trifox-b361b7,1,0,46
we-are-ofk,1,0,28
a-plague-tale-requiem,0,0,0
a-tale-of-paper-refolded-edition-39dd94,0,0,29
aer-memories-of-old,0,0,0
anuchard-08179d,0,0,0
arcadegeddon,0,0,0
baldurs-gate-dark-alliance-2-14db6b,0,0,0
bassmaster-fishing-2022-ec4015,0,0,0
blacktail,0,0,0
bright-paw-definitive-edition-cbe813,0,0,0
charons-staircase-b2d05f,0,0,0
chef-life-a-restaurant-simulator,0,0,0
chernobylite,0,0,0
city-of-gangsters-6c2974,0,0,0
cloud-cutter-46f961,0,0,34
colossal-cave-6f902f,0,0,0
demons-tilt,0,0,0
despots-game-f61a0a,0,0,0
dying-light,0,0,0
f1-manager-2022,0,0,0
fishing-north-atlantic-9fbc5c,0,0,0
forspoken,0,0,0
frostpunk,0,0,0
funtasia-furry-road-bd0756,0,0,0
galactic-civilizations-iv,0,0,0
gigabash,0,0,0
golf-club-wasteland-f6771e,0,0,0
gotham-knights,0,0,0
hardspace-shipbreaker,0,0,0
hellslave-cc8a71,0,0,0
hogwarts-legacy,0,0,0
hundred-days-winemaking-simulator,0,0,0
justice-sucks-bbf069,0,0,0
kaichu-the-kaiju-dating-sim-531fb7,0,0,15
monster-outbreak-2e8c08,0,0,0
my-time-at-sandrock,0,0,0
new-tales-from-the-borderlands,0,0,0
no-more-room-in-hell-2-ea1b5c,0,0,0
othercide-19bfa0,0,0,0
potion-permit,0,0,0
railgrade,0,0,0
ravenlok-bcabbc,0,0,0
ruggnar-06d06b,0,0,0
rumbleverse,0,0,0
saint-kotar-7f0c47,0,0,0
scarf-dd1030,0,0,0
session-skate-sim,0,0,0
sonic-origins,0,0,0
souldiers-3f612b,0,0,0
spirit-of-the-island,0,0,0
terror-of-hemasaurus-a08800,0,0,0
the-dark-prophecy-2193c4,0,0,0
the-spirit-and-the-mouse-42390b,0,0,0
the-tale-of-bistun-9d6c5f,0,0,38
this-war-of-mine,0,0,0
tinytopia,0,0,0
touch-type-tale,0,0,0
trek-to-yomi-70d134,0,0,0
verdun,0,0,0
warhammer-40000-chaos-gate-daemonhunters,0,0,0
warhammer-40000-shootas-blood-and-teef-fcb4ef,0,0,0
yars-revenge-recharged-fbdc11,0,0,15
